lambda,hst.ACS_update_sep07.wfc_f435w_t81.dat,hst.ACS_update_sep07.wfc_f475w_t81.dat,hst.ACS_update_sep07.wfc_f606w_t81.dat,hst.ACS_update_sep07.wfc_f775w_t81.dat,hst.ACS_update_sep07.wfc_f814w_t81.dat,F090W_JWST,hst.wfc3.IR.f105w.dat,F115W_JWST,hst.wfc3.IR.f125w.dat,hst.wfc3.IR.f140w.dat,F150W_JWST,hst.wfc3.IR.f160w.dat,F200W_JWST,F277W_JWST,F356W_JWST,F410M_JWST,F444W_JWST
44910,,,,,,,,,,,,,,1.41271571335712e-05,2.28986846303187e-05,0.000256345958982822,0.487776362863278
44920,,,,,,,,,,,,,,1.45286048481148e-05,2.26989483722452e-05,0.000247631366280723,0.487649029843093
44930,,,,,,,,,,,,,,1.47277574033727e-05,2.26269562679307e-05,0.000240052772187876,0.487519677523613
44940,,,,,,,,,,,,,,1.4435091903804e-05,2.25524288608186e-05,0.000234406695220801,0.48738805428893
44950,,,,,,,,,,,,,,1.37865727014696e-05,2.25446517571661e-05,0.000227331398081187,0.487248760547301
44960,,,,,,,,,,,,,,1.35039162517702e-05,2.25441620559695e-05,0.000220250449051589,0.487107195447535
44970,,,,,,,,,,,,,,1.3471457736543e-05,2.25371158256687e-05,0.000213962866811305,0.486964750782264
44980,,,,,,,,,,,,,,1.35542759635835e-05,2.25676988612332e-05,0.000211030092594949,0.486818851012991
44990,,,,,,,,,,,,,,1.36005302945381e-05,2.25344846261e-05,0.000207702142036845,0.486671341557534
45000,,,,,,,,,,,,,,1.34131789402453e-05,2.23537752000588e-05,0.000203590406649838,0.486523899383466
45010,,,,,,,,,,,,,,1.32515923081612e-05,2.19735756305339e-05,0.000198382553180583,0.486377378964429
45020,,,,,,,,,,,,,,1.33747802744303e-05,2.14051288503075e-05,0.000190904946160059,0.486231169492226
45030,,,,,,,,,,,,,,1.35612192883082e-05,2.07229651433125e-05,0.000186867858732954,0.486082399407401
45040,,,,,,,,,,,,,,1.36591939072272e-05,2.00279434418499e-05,0.000184157701862785,0.485931091451756
45050,,,,,,,,,,,,,,1.35706963729164e-05,1.94022447441475e-05,0.000181126001835723,0.485777087477198
45060,,,,,,,,,,,,,,1.31971044972749e-05,1.88752904957009e-05,0.000176947299011062,0.485621225208663
45070,,,,,,,,,,,,,,1.28786662188948e-05,1.84146347072549e-05,0.000169978815118362,0.485463232807536
45080,,,,,,,,,,,,,,1.27610995779694e-05,1.79767789879747e-05,0.000162451660093759,0.485303372593656
45090,,,,,,,,,,,,,,1.26145396373265e-05,1.75057518332121e-05,0.000157315216303705,0.485141834484124
45100,,,,,,,,,,,,,,1.23567049437739e-05,1.7217048693327e-05,0.000154098711380046,0.484975604522285
45110,,,,,,,,,,,,,,1.20365720096741e-05,1.71287503314327e-05,0.000150148084326209,0.484807754686713
45120,,,,,,,,,,,,,,1.17946312732951e-05,1.72363717121183e-05,0.000145393190310962,0.484638224425455
45130,,,,,,,,,,,,,,1.19419579483248e-05,1.75497631195625e-05,0.000139971066079629,0.484466269480569
45140,,,,,,,,,,,,,,1.23850999635232e-05,1.81840024389162e-05,0.000135395190559214,0.484292901236206
45150,,,,,,,,,,,,,,1.27457696572338e-05,1.88928794302093e-05,0.000132679937520713,0.484117413872858
45160,,,,,,,,,,,,,,1.29217260858592e-05,1.96156717822289e-05,0.000130627811844267,0.483939743948418
45170,,,,,,,,,,,,,,1.30287123571858e-05,2.02706818671108e-05,0.000124794356280249,0.483759853993263
45180,,,,,,,,,,,,,,1.32880459380496e-05,2.08638268641543e-05,0.000117017138399694,0.483578779196512
45190,,,,,,,,,,,,,,1.38934715266069e-05,2.1541694631455e-05,0.000109875470558553,0.483395955946422
45200,,,,,,,,,,,,,,1.46415425952576e-05,2.23035328818208e-05,0.000104525808893633,0.483211451869698
45210,,,,,,,,,,,,,,1.50696176357936e-05,2.29301750887365e-05,0.000103769189153282,0.483026569413835
45220,,,,,,,,,,,,,,1.51258525290682e-05,2.33362823075088e-05,0.000102827385103645,0.482838502271843
45230,,,,,,,,,,,,,,1.50221633884263e-05,2.35473294946068e-05,0.000101021141489757,0.482649077601932
45240,,,,,,,,,,,,,,1.49413374335806e-05,2.3574023312978e-05,9.80947309103549e-05,0.482458743271555
45250,,,,,,,,,,,,,,1.51961474521895e-05,2.35138890926042e-05,9.47315062679595e-05,0.482264825502067
45260,,,,,,,,,,,,,,1.55345338113853e-05,2.34695360527642e-05,9.25679767105422e-05,0.482068843433327
45270,,,,,,,,,,,,,,1.5554555686867e-05,2.33660200441444e-05,9.15809490592309e-05,0.481870610267143
45280,,,,,,,,,,,,,,1.52087687406282e-05,2.31517991419686e-05,9.17100462466927e-05,0.481669881968232
45290,,,,,,,,,,,,,,1.47025128513206e-05,2.28534287927379e-05,8.80328690686577e-05,0.481467529207488
45300,,,,,,,,,,,,,,1.42729592883018e-05,2.24512088845215e-05,8.47987973012133e-05,0.481262799660486
45310,,,,,,,,,,,,,,1.43122415407003e-05,2.20998725585471e-05,8.20480683898783e-05,0.481055345896241
45320,,,,,,,,,,,,,,1.43502511819236e-05,2.19632958144262e-05,7.98627417664805e-05,0.480844580966826
45330,,,,,,,,,,,,,,1.41542918976369e-05,2.19241904995528e-05,8.10752949822742e-05,0.480632631664122
45340,,,,,,,,,,,,,,1.37367417753906e-05,2.19715677373433e-05,8.05539065354978e-05,0.480419470187808
45350,,,,,,,,,,,,,,1.32740810111048e-05,2.20588373918969e-05,7.8437970307966e-05,0.480205937211131
45360,,,,,,,,,,,,,,1.29622391966656e-05,2.21143877779277e-05,7.5061697446405e-05,0.479993372796042
45370,,,,,,,,,,,,,,1.2762151414686e-05,2.20841143606645e-05,7.16399880413506e-05,0.479778644817005
45380,,,,,,,,,,,,,,1.24973110420504e-05,2.1894617370553e-05,6.95728229607241e-05,0.479563018962774
45390,,,,,,,,,,,,,,1.21216307683092e-05,2.15440201676834e-05,6.86801744934523e-05,0.479346499745178
45400,,,,,,,,,,,,,,1.17260929425599e-05,2.10296391244284e-05,6.82576950266312e-05,0.479128675950797
45410,,,,,,,,,,,,,,1.15247770614141e-05,2.04637286831759e-05,6.59286775100101e-05,0.478911160588547
45420,,,,,,,,,,,,,,1.18859395313018e-05,1.98144868501619e-05,6.34674876177679e-05,0.478693160418251
45430,,,,,,,,,,,,,,1.24584057399218e-05,1.91020016374852e-05,6.12426231600452e-05,0.478474149041779
45440,,,,,,,,,,,,,,1.2976306020009e-05,1.84346543489634e-05,5.93945204256147e-05,0.478252508458354
45450,,,,,,,,,,,,,,1.33513545059153e-05,1.77447140298313e-05,5.82653573397326e-05,0.478029160911534
45460,,,,,,,,,,,,,,1.37328391079562e-05,1.71095727763992e-05,5.67571551644843e-05,0.47780426432219
45470,,,,,,,,,,,,,,1.43932211039724e-05,1.65870767462462e-05,5.46768729184843e-05,0.477578103686365
45480,,,,,,,,,,,,,,1.55038080655432e-05,1.64122134557185e-05,5.32634236531063e-05,0.477352736042562
45490,,,,,,,,,,,,,,1.64536997341073e-05,1.65785778064668e-05,5.31210802872912e-05,0.477126041819093
45500,,,,,,,,,,,,,,1.71077318168316e-05,1.68969864983082e-05,5.30316120794968e-05,0.476900566951804
45510,,,,,,,,,,,,,,1.73603859918736e-05,1.7274948646538e-05,5.23360407384452e-05,0.476677618086197
45520,,,,,,,,,,,,,,1.73938619739241e-05,1.76269271124474e-05,5.02879536477588e-05,0.476456282868212
45530,,,,,,,,,,,,,,1.75449450995347e-05,1.80740995652108e-05,4.75782689631774e-05,0.476235644557474
45540,,,,,,,,,,,,,,1.79734638913597e-05,1.85378539641701e-05,4.55802052791997e-05,0.476015404871287
45550,,,,,,,,,,,,,,1.81696026053892e-05,1.89571089867984e-05,4.54266682373576e-05,0.475795354146003
45560,,,,,,,,,,,,,,1.80790271709322e-05,1.93733083782804e-05,4.59231499980888e-05,0.475574843723719
45570,,,,,,,,,,,,,,1.77507515817767e-05,1.96741937903433e-05,4.55864796755725e-05,0.475355831395999
45580,,,,,,,,,,,,,,1.74024213560364e-05,1.98846090268904e-05,4.38033459057993e-05,0.475137783446117
45590,,,,,,,,,,,,,,1.73126582727679e-05,2.00292095969716e-05,3.96633472422125e-05,0.474920088877128
45600,,,,,,,,,,,,,,1.7583490177025e-05,2.01069840915217e-05,3.7860313218514e-05,0.474702907072875
45610,,,,,,,,,,,,,,1.7576283848267e-05,2.01226732182871e-05,3.76405787598577e-05,0.474657273671739
45620,,,,,,,,,,,,,,1.74585312759794e-05,2.0076309468756e-05,3.83031389272815e-05,0.474681170879711
45630,,,,,,,,,,,,,,1.72950541570076e-05,1.99604989498041e-05,3.8629923451675e-05,0.474556030022427
45640,,,,,,,,,,,,,,1.72461961037561e-05,1.97660371301461e-05,3.76256026362648e-05,0.474349049579839
45650,,,,,,,,,,,,,,1.74863368843929e-05,1.96801548361174e-05,3.57028220936585e-05,0.474132522537709
45660,,,,,,,,,,,,,,1.79511900403701e-05,1.96650073327801e-05,3.35160142488882e-05,0.473916426095397
45670,,,,,,,,,,,,,,1.81041637640367e-05,1.95218000112479e-05,3.29590319234841e-05,0.473700640914379
45680,,,,,,,,,,,,,,1.79526355804689e-05,1.93266492812478e-05,3.22561967427356e-05,0.473484460803177
45690,,,,,,,,,,,,,,1.76048181295867e-05,1.90322850742763e-05,3.15958481766149e-05,0.473269791153711
45700,,,,,,,,,,,,,,1.72578313720476e-05,1.86620354189982e-05,3.08899791836626e-05,0.4730681801564
45710,,,,,,,,,,,,,,1.70710316409742e-05,1.84082078406502e-05,2.94158609640826e-05,0.472939338121715
45720,,,,,,,,,,,,,,1.67980175386e-05,1.82722909423156e-05,2.86267797766782e-05,0.472987849003681
45730,,,,,,,,,,,,,,1.61438284968481e-05,1.81129135285533e-05,2.83620974646545e-05,0.472949629841702
45740,,,,,,,,,,,,,,1.52978580226324e-05,1.78591782706022e-05,2.84308156250737e-05,0.472733854935703
45750,,,,,,,,,,,,,,1.45800075352037e-05,1.73684320842179e-05,2.73001070520143e-05,0.47251941158857
45760,,,,,,,,,,,,,,1.42295107283788e-05,1.6767225266849e-05,2.60731286368727e-05,0.472306152823478
45770,,,,,,,,,,,,,,1.43162109092523e-05,1.62072374646543e-05,2.47553051014011e-05,0.472093062752154
45780,,,,,,,,,,,,,,1.46050111999765e-05,1.57848887288799e-05,2.33914255536111e-05,0.471879528688595
45790,,,,,,,,,,,,,,1.46141670091171e-05,1.54791025558945e-05,2.35792359614943e-05,0.471665855212412
45800,,,,,,,,,,,,,,1.44591062087054e-05,1.53104238053912e-05,2.31834485093366e-05,0.471452076692016
45810,,,,,,,,,,,,,,1.44197507477762e-05,1.52550732866874e-05,2.22455852305824e-05,0.471239273369626
45820,,,,,,,,,,,,,,1.46324700108677e-05,1.52988293561672e-05,2.07621333450113e-05,0.471028595611546
45830,,,,,,,,,,,,,,1.50410575465967e-05,1.5272001498052e-05,1.81462678586609e-05,0.470816256052138
45840,,,,,,,,,,,,,,1.54177487257501e-05,1.52229858867789e-05,1.64432916101022e-05,0.470603345918283
45850,,,,,,,,,,,,,,1.53204301325262e-05,1.5151717935691e-05,1.56058917441049e-05,0.470389640231257
45860,,,,,,,,,,,,,,1.48879281681432e-05,1.50537686552173e-05,1.55588700053615e-05,0.470174656480437
45870,,,,,,,,,,,,,,1.44749084457055e-05,1.51406142338645e-05,1.46236883726166e-05,0.469958750329637
45880,,,,,,,,,,,,,,1.4382606606327e-05,1.53092533721196e-05,1.39869942414657e-05,0.469742289007412
45890,,,,,,,,,,,,,,1.47297310006076e-05,1.55373477047464e-05,1.37693084663551e-05,0.469524418957634
45900,,,,,,,,,,,,,,1.52157150243941e-05,1.58000256012249e-05,1.40362077101932e-05,0.469302786952768
45910,,,,,,,,,,,,,,1.54304933333617e-05,1.56513190643054e-05,1.48738415439505e-05,0.469075639423222
45920,,,,,,,,,,,,,,1.55038585821944e-05,1.52806982042552e-05,1.52458003219669e-05,0.46884681090648
45930,,,,,,,,,,,,,,1.56602344048876e-05,1.48189391264844e-05,1.50242124352333e-05,0.468617280627656
45940,,,,,,,,,,,,,,1.59873205946475e-05,1.46519795894424e-05,1.44283956924654e-05,0.468388163964629
45950,,,,,,,,,,,,,,1.63806569552312e-05,1.47802908761232e-05,1.35002561216192e-05,0.468156261039425
45960,,,,,,,,,,,,,,1.64884386936599e-05,1.5120527918124e-05,1.29182461680818e-05,0.467922272756194
45970,,,,,,,,,,,,,,1.6228230797914e-05,1.56012002106815e-05,1.28680423748232e-05,0.467686445514445
45980,,,,,,,,,,,,,,1.57110941990535e-05,1.58616017673544e-05,1.31356956885466e-05,0.467449368498075
45990,,,,,,,,,,,,,,1.52834336744352e-05,1.60101765349208e-05,1.24497793695813e-05,0.467211225511599
46000,,,,,,,,,,,,,,1.51710186348077e-05,1.60737056888446e-05,1.16425570598054e-05,0.466972320284686
46010,,,,,,,,,,,,,,1.5357767570104e-05,1.6075073318195e-05,1.11228314511187e-05,0.466732489759687
46020,,,,,,,,,,,,,,1.54153156943325e-05,1.62383743675806e-05,1.10232631415274e-05,0.466487529747818
46030,,,,,,,,,,,,,,1.53335389120189e-05,1.64196235791243e-05,1.05819600990898e-05,0.466240885068619
46040,,,,,,,,,,,,,,1.53254974488146e-05,1.65609781905741e-05,9.82016248545384e-06,0.465992402848213
46050,,,,,,,,,,,,,,1.56487290941713e-05,1.66163755612198e-05,8.73360171164378e-06,0.465741843526937
46060,,,,,,,,,,,,,,1.63911930617415e-05,1.67691589493874e-05,7.45058938785005e-06,0.465488158534971
46070,,,,,,,,,,,,,,1.73891602461092e-05,1.67913556107075e-05,7.45791591145093e-06,0.465230946102994
46080,,,,,,,,,,,,,,1.80337965067877e-05,1.6710484386392e-05,8.25639799940249e-06,0.464970043222124
46090,,,,,,,,,,,,,,1.82485732515612e-05,1.65520290180683e-05,9.29320533764877e-06,0.464704937767692
46100,,,,,,,,,,,,,,1.82034101121178e-05,1.62347875281818e-05,1.03787509028233e-05,0.464451101709594
46110,,,,,,,,,,,,,,1.81864545425317e-05,1.59191020744371e-05,1.05344538841452e-05,0.464216207588069
46120,,,,,,,,,,,,,,1.83157969535675e-05,1.56083539246954e-05,1.04108824684216e-05,0.463992449035742
46130,,,,,,,,,,,,,,1.84488443276619e-05,1.52922150546534e-05,1.13436301367846e-05,0.4637650993222
46140,,,,,,,,,,,,,,1.80898760602148e-05,1.47343713263118e-05,1.36661686455891e-05,0.463531215631106
46150,,,,,,,,,,,,,,1.73204177955468e-05,1.40561087595751e-05,1.52690798053479e-05,0.46329446061874
46160,,,,,,,,,,,,,,1.64037565096998e-05,1.32670050172934e-05,1.58430270865924e-05,0.46305543599042
46170,,,,,,,,,,,,,,1.5683799630041e-05,1.23375624533535e-05,1.5198230723571e-05,0.46281430968745
46180,,,,,,,,,,,,,,1.53229949431494e-05,1.17419245490252e-05,1.38735166626672e-05,0.462570024215542
46190,,,,,,,,,,,,,,1.52276228511984e-05,1.12909670094443e-05,1.26303948296867e-05,0.46232298964321
46200,,,,,,,,,,,,,,1.51386801238426e-05,1.09361173671505e-05,1.16138278649147e-05,0.462066293863463
46210,,,,,,,,,,,,,,1.50191123747079e-05,1.06487151406604e-05,1.06578041814829e-05,0.461763880388299
46220,,,,,,,,,,,,,,1.50977793330926e-05,1.03789276390634e-05,1.00368317466598e-05,0.461455142179083
46230,,,,,,,,,,,,,,1.55631949721941e-05,1.01573449152507e-05,9.91198326079088e-06,0.461142703405698
46240,,,,,,,,,,,,,,1.63574457062067e-05,1.00066688485954e-05,1.03348757651211e-05,0.460827236277272
46250,,,,,,,,,,,,,,1.71477350443456e-05,1.00148169023012e-05,1.10222881649364e-05,0.460506994974905
46260,,,,,,,,,,,,,,1.74762441450683e-05,9.91373697412089e-06,1.2020367513651e-05,0.460182744150946
46270,,,,,,,,,,,,,,1.73278611223206e-05,9.77438669893379e-06,1.23943113022321e-05,0.459855367667464
46280,,,,,,,,,,,,,,1.70625243375726e-05,9.63559494237397e-06,1.1558951296423e-05,0.459525204471045
46290,,,,,,,,,,,,,,1.68580024764307e-05,9.45796692547268e-06,9.94589829135074e-06,0.459192373489632
46300,,,,,,,,,,,,,,1.67340370089849e-05,9.42955703792625e-06,8.29082289263065e-06,0.458856291661806
46310,,,,,,,,,,,,,,1.65484375816486e-05,9.50481051048105e-06,7.06485641168807e-06,0.45851742344263
46320,,,,,,,,,,,,,,1.60169611126849e-05,9.6487206642009e-06,6.75063702053689e-06,0.458175986808946
46330,,,,,,,,,,,,,,1.52480602658492e-05,9.68943616969526e-06,7.2739178138962e-06,0.457829473818159
46340,,,,,,,,,,,,,,1.47112674303653e-05,9.74908137202872e-06,7.12902456607991e-06,0.457481470680139
46350,,,,,,,,,,,,,,1.46728994954462e-05,9.86032905094704e-06,6.62520275058792e-06,0.457131793064768
46360,,,,,,,,,,,,,,1.51358908318749e-05,1.00738542237724e-05,6.24916515871389e-06,0.456779873590477
46370,,,,,,,,,,,,,,1.58273234066595e-05,1.05450181159837e-05,6.50287514014898e-06,0.456422574232443
46380,,,,,,,,,,,,,,1.63827767837131e-05,1.09174343672722e-05,7.32071901749055e-06,0.456063014265195
46390,,,,,,,,,,,,,,1.67433349291159e-05,1.11502464017099e-05,8.46963756799953e-06,0.455701422600458
46400,,,,,,,,,,,,,,1.71845009146784e-05,1.12058944697957e-05,9.44333192919083e-06,0.455337467093597
46410,,,,,,,,,,,,,,1.78369955446554e-05,1.11389640880549e-05,1.01306623990894e-05,0.454974551863564
46420,,,,,,,,,,,,,,1.86336609535754e-05,1.10042428046604e-05,1.09619235424265e-05,0.454609886427281
46430,,,,,,,,,,,,,,1.93020918695758e-05,1.08231708252288e-05,1.1942763180899e-05,0.45424287909795
46440,,,,,,,,,,,,,,1.94933728426317e-05,1.0639645138991e-05,1.28135733430937e-05,0.4538729933218
46450,,,,,,,,,,,,,,1.9275449025358e-05,1.03933191126928e-05,1.31387652070572e-05,0.453501905898118
46460,,,,,,,,,,,,,,1.90555787481938e-05,1.01398499620437e-05,1.20001628525115e-05,0.453130243430675
46470,,,,,,,,,,,,,,1.90534418740204e-05,9.88535788480761e-06,9.42757374952903e-06,0.452758216495844
46480,,,,,,,,,,,,,,1.92936878770839e-05,9.56252103347513e-06,7.63878977186397e-06,0.452386087560565
46490,,,,,,,,,,,,,,1.95917977111725e-05,9.31233417285327e-06,6.51981406627265e-06,0.45201102106175
46500,,,,,,,,,,,,,,1.96456103657608e-05,9.09351137157696e-06,6.24053082504951e-06,0.451633857578325
46510,,,,,,,,,,,,,,1.94713045861107e-05,8.88606087457039e-06,6.86142196275569e-06,0.451277225359511
46520,,,,,,,,,,,,,,1.94115890750583e-05,8.65869206700529e-06,7.47650239201737e-06,0.451260388082616
46530,,,,,,,,,,,,,,1.96227413059806e-05,8.60964155334539e-06,7.36497169509539e-06,0.450983896156996
46540,,,,,,,,,,,,,,2.00707782216071e-05,8.68141771128032e-06,6.9586115429845e-06,0.450601188133088
46550,,,,,,,,,,,,,,2.0524358487253e-05,8.84046872886179e-06,6.55591917494476e-06,0.450218032120992
46560,,,,,,,,,,,,,,2.0620050604292e-05,9.18736903101824e-06,6.22795360803928e-06,0.449832573739254
46570,,,,,,,,,,,,,,2.03226240661945e-05,9.49358543524538e-06,6.09271992300377e-06,0.449448466980539
46580,,,,,,,,,,,,,,1.99084511610533e-05,9.78367544760782e-06,6.09350481513265e-06,0.449065590428035
46590,,,,,,,,,,,,,,1.95282885133546e-05,1.0085520250617e-05,6.17431802501548e-06,0.448683904054969
46600,,,,,,,,,,,,,,1.92070022776093e-05,1.04714910460869e-05,6.55236081681699e-06,0.448305423210727
46610,,,,,,,,,,,,,,1.88227234623081e-05,1.06619176718897e-05,7.74501025636346e-06,0.447929509457486
46620,,,,,,,,,,,,,,1.80488089363485e-05,1.06905538863627e-05,9.47191932894032e-06,0.447555671503985
46630,,,,,,,,,,,,,,1.70718305032518e-05,1.06291765774131e-05,1.12192653308926e-05,0.447183279420015
46640,,,,,,,,,,,,,,1.62179815118257e-05,1.03506421399335e-05,1.26343184079308e-05,0.446815448991772
46650,,,,,,,,,,,,,,1.57090556778997e-05,1.0051226230466e-05,1.30025125259712e-05,0.44644999146656
46660,,,,,,,,,,,,,,1.55857261093944e-05,9.73571543137453e-06,1.25487508984055e-05,0.446086739850525
46670,,,,,,,,,,,,,,1.565968799559e-05,9.34440733547634e-06,1.21256265242037e-05,0.445726212912624
46680,,,,,,,,,,,,,,1.56131715470799e-05,8.86403289079156e-06,1.17458431662215e-05,0.445366960303894
46690,,,,,,,,,,,,,,1.54868118828981e-05,8.3956786468799e-06,1.10541325941279e-05,0.445010453895166
46700,,,,,,,,,,,,,,1.55801348896838e-05,7.96873819135874e-06,1.00542231907756e-05,0.444657563738801
46710,,,,,,,,,,,,,,1.60768764752461e-05,7.61738705791997e-06,9.15849498357544e-06,0.444310931562506
46720,,,,,,,,,,,,,,1.6952574851191e-05,7.6451755474782e-06,8.40106977735336e-06,0.443967553704063
46730,,,,,,,,,,,,,,1.79246994074494e-05,7.797536380481e-06,8.07794254303493e-06,0.443626770874667
46740,,,,,,,,,,,,,,1.86052840699837e-05,7.9743133217568e-06,8.28053129454171e-06,0.443288471586156
46750,,,,,,,,,,,,,,1.89453818197948e-05,8.07179850074818e-06,8.70832361890228e-06,0.442952963864708
46760,,,,,,,,,,,,,,1.92305440563355e-05,8.11824405382878e-06,8.80749488441445e-06,0.442622288519778
46770,,,,,,,,,,,,,,1.96821652775501e-05,8.16469000349075e-06,8.71540661411686e-06,0.442295354783956
46780,,,,,,,,,,,,,,2.02965927618415e-05,8.2511770530528e-06,8.50031452847514e-06,0.441971748670154
46790,,,,,,,,,,,,,,2.07504149308098e-05,8.64265706334838e-06,8.17572244442562e-06,0.441651148142197
46800,,,,,,,,,,,,,,2.06308707864636e-05,8.99718812617066e-06,8.36998538638944e-06,0.441331215979852
46810,,,,,,,,,,,,,,2.00286602227492e-05,9.31708039353898e-06,8.65745266245533e-06,0.441012110348637
46820,,,,,,,,,,,,,,1.93296770522527e-05,9.60174704143433e-06,8.65655128675601e-06,0.440694040089754
46830,,,,,,,,,,,,,,1.88232741823345e-05,9.97119565408967e-06,8.33265340442889e-06,0.44038383514859
46840,,,,,,,,,,,,,,1.86093828799385e-05,1.03183131408048e-05,7.80054208037164e-06,0.440077184829584
46850,,,,,,,,,,,,,,1.85178724621307e-05,1.0646296135056e-05,7.19972228990024e-06,0.439774030422713
46860,,,,,,,,,,,,,,1.81671763016359e-05,1.09607648990678e-05,6.72548611952576e-06,0.439474730910181
46870,,,,,,,,,,,,,,1.74685031038864e-05,1.11405682989815e-05,6.52050552039739e-06,0.439181572587255
46880,,,,,,,,,,,,,,1.68657109311648e-05,1.13195848050083e-05,6.29465358145456e-06,0.438893645829238
46890,,,,,,,,,,,,,,1.66317894282651e-05,1.15161671782083e-05,6.25896251738817e-06,0.438611379174961
46900,,,,,,,,,,,,,,1.68677572561611e-05,1.17491110294023e-05,6.97392336149586e-06,0.438336550999803
46910,,,,,,,,,,,,,,1.74697829173819e-05,1.21307993360471e-05,8.26443387631626e-06,0.438068736558113
46920,,,,,,,,,,,,,,1.79372602732676e-05,1.26115041825067e-05,9.56945919571357e-06,0.437805051860953
46930,,,,,,,,,,,,,,1.80305455924582e-05,1.31187732287721e-05,1.07832010643322e-05,0.437545381096203
46940,,,,,,,,,,,,,,1.79872713620423e-05,1.3415673829632e-05,1.18520794966757e-05,0.43729130513054
46950,,,,,,,,,,,,,,1.80270929251373e-05,1.37957508882341e-05,1.13766462519709e-05,0.437043792736821
46960,,,,,,,,,,,,,,1.8299136546841e-05,1.42150876861367e-05,1.06673001511893e-05,0.43680095492159
46970,,,,,,,,,,,,,,1.88195688670546e-05,1.46460355126326e-05,1.01106028869616e-05,0.436606014161931
46980,,,,,,,,,,,,,,1.91870856306763e-05,1.49865535503115e-05,9.84573515364397e-06,0.436736981647983
46990,,,,,,,,,,,,,,1.92101701595764e-05,1.48747082272225e-05,9.94305362134334e-06,0.436590839053864
47000,,,,,,,,,,,,,,1.91372413480587e-05,1.44470153988308e-05,1.00310458617266e-05,0.436364584864624
47010,,,,,,,,,,,,,,1.91750293571581e-05,1.37625725945176e-05,9.92680158126068e-06,0.436143674351881
47020,,,,,,,,,,,,,,1.94748774310325e-05,1.29934284119198e-05,9.44621432465044e-06,0.435929896036993
47030,,,,,,,,,,,,,,2.00956605768688e-05,1.21525816572466e-05,9.14320741883867e-06,0.435719344665411
47040,,,,,,,,,,,,,,2.0466155943534e-05,1.13417766977279e-05,9.06697830065418e-06,0.435511168857471
47050,,,,,,,,,,,,,,2.04672377746831e-05,1.06349704338993e-05,9.25918359983036e-06,0.435304980938401
47060,,,,,,,,,,,,,,2.02975512964971e-05,1.00248623128136e-05,9.07425668788444e-06,0.435105621748458
47070,,,,,,,,,,,,,,2.0180180692046e-05,9.58191240661834e-06,8.82023284512251e-06,0.434910419718895
47080,,,,,,,,,,,,,,2.02560565196015e-05,9.37924208579904e-06,8.61505341422382e-06,0.434719230104163
47090,,,,,,,,,,,,,,2.0482773367729e-05,9.5210205946472e-06,8.59779519700114e-06,0.434532230204024
47100,,,,,,,,,,,,,,2.04235821660678e-05,9.97961692606334e-06,9.05978924843104e-06,0.434360152597262
47110,,,,,,,,,,,,,,1.9992487170225e-05,1.04712531311546e-05,9.21902871322212e-06,0.434209187529357
47120,,,,,,,,,,,,,,1.92865714642566e-05,1.09339611939191e-05,9.02401104940445e-06,0.434073074065191
47130,,,,,,,,,,,,,,1.86545939776866e-05,1.12762941753206e-05,8.40763348202285e-06,0.433941648257473
47140,,,,,,,,,,,,,,1.83906396079136e-05,1.15695924971161e-05,7.51364738729251e-06,0.433814637490783
47150,,,,,,,,,,,,,,1.84623636185742e-05,1.18964030380143e-05,7.30337198742369e-06,0.433690269238895
47160,,,,,,,,,,,,,,1.86495940076013e-05,1.22107611053079e-05,7.89248920166361e-06,0.433567812576745
47170,,,,,,,,,,,,,,1.86343003083259e-05,1.23529792686175e-05,9.36616522033874e-06,0.433445967067309
47180,,,,,,,,,,,,,,1.84574295972651e-05,1.23357808831894e-05,9.82122209202426e-06,0.433326280076816
47190,,,,,,,,,,,,,,1.83631363600926e-05,1.21834170180973e-05,9.91446237450942e-06,0.433208911686772
47200,,,,,,,,,,,,,,1.85766022673011e-05,1.19533203232628e-05,9.73770251522632e-06,0.433087873437223
47210,,,,,,,,,,,,,,1.90953459283645e-05,1.18928949070441e-05,9.06626396032572e-06,0.432934676982527
47220,,,,,,,,,,,,,,1.95756308568441e-05,1.20991807361192e-05,9.28445816705504e-06,0.432778240443945
47230,,,,,,,,,,,,,,1.97438579392473e-05,1.24122811775397e-05,9.98851666492892e-06,0.432620785487616
47240,,,,,,,,,,,,,,1.95851080755724e-05,1.27758380514228e-05,1.09066030817627e-05,0.432463294557157
47250,,,,,,,,,,,,,,1.92801069350205e-05,1.31584634348708e-05,1.07899527495428e-05,0.432307769189363
47260,,,,,,,,,,,,,,1.90905155900616e-05,1.34582579190181e-05,1.03168966424685e-05,0.432153887600135
47270,,,,,,,,,,,,,,1.9246575097938e-05,1.37586526792615e-05,9.54736956659589e-06,0.432000218501561
47280,,,,,,,,,,,,,,1.93695058765167e-05,1.4100807682197e-05,8.55065465013447e-06,0.431845976186564
47290,,,,,,,,,,,,,,1.92323569983686e-05,1.43644254949141e-05,8.52244254761745e-06,0.431691153211635
47300,,,,,,,,,,,,,,1.8845270469819e-05,1.45127118195837e-05,8.68393695681636e-06,0.431535976242878
47310,,,,,,,,,,,,,,1.83809546968998e-05,1.46147583911883e-05,8.76241962201705e-06,0.431381429112937
47320,,,,,,,,,,,,,,1.81105001241569e-05,1.47277065513686e-05,8.51243638268258e-06,0.431228422066789
